open,volume,weightedAverage,close,date,quoteVolume,high,low
4023.3181323,47.30328628,4028.23539634,4031.49442286,1553135100,0.01174293,4031.49442286,4023.3181323
4035.95099876,192.66843057,4035.95099876,4035.95099876,1553135400,0.04773805,4035.95099876,4035.95099876
4035.90399638,14.13183892,4035.90399638,4035.90399638,1553135700,0.00350153,4035.90399638,4035.90399638
4034.41131589,39.06419616,4034.41131589,4034.41131589,1553136000,0.00968275,4034.41131589,4034.41131589
4031.30718285,15.7797457,4031.30718285,4031.30718285,1553136300,0.0039143,4031.30718285,4031.30718285
4023.26102762,41.47169641,4030.83177489,4031.30717933,1553136600,0.01028862,4031.30717933,4023.26102762
4031.30517736,89.50125375,4030.41519263,4023.26102855,1553136900,0.02220646,4031.30717861,4023.26102855
4023.26102855,0,4023.26102855,4023.26102855,1553137200,0,4023.26102855,4023.26102855
4024.00000115,3157.73097669,4022.80733282,4021.7792278,1553137500,0.78495705,4024.00000115,4021.7792278
4021.7792278,0,4021.7792278,4021.7792278,1553137800,0,4021.7792278,4021.7792278
4031.28999265,47.30005268,4031.28999265,4031.28999265,1553138100,0.01173323,4031.28999265,4031.28999265
4024.82422074,2.51716531,4024.82422074,4024.82422074,1553138400,0.00062541,4024.82422074,4024.82422074
4024.82422074,0,4024.82422074,4024.82422074,1553138700,0,4024.82422074,4024.82422074
4024.82422074,0,4024.82422074,4024.82422074,1553139000,0,4024.82422074,4024.82422074
4024.82422074,0,4024.82422074,4024.82422074,1553139300,0,4024.82422074,4024.82422074
4024.82422074,0,4024.82422074,4024.82422074,1553139600,0,4024.82422074,4024.82422074
4029,5368.32312117,4029,4029,1553139900,1.33242073,4029,4029
4028.5,345.6171005,4028.5,4028.5,1553140200,0.085793,4028.5,4028.5
4028.5,0,4028.5,4028.5,1553140500,0,4028.5,4028.5
4028.5,15.22096212,4028.5,4028.5,1553140800,0.00377832,4028.5,4028.5
4028.5,444.85464579,4028.5,4028.5,1553141100,0.11042687,4028.5,4028.5
4028.5,0,4028.5,4028.5,1553141400,0,4028.5,4028.5
4028.5,0,4028.5,4028.5,1553141700,0,4028.5,4028.5
4028.5,2.30816242,4023.5722003,4023.556603,1553142000,0.00057366,4028.5,4023.556603
4023.556603,0,4023.556603,4023.556603,1553142300,0,4023.556603,4023.556603
4028.49899943,7.22994715,4028.49899943,4028.49899943,1553142600,0.0017947,4028.49899943,4028.49899943
4028.49899943,0,4028.49899943,4028.49899943,1553142900,0,4028.49899943,4028.49899943
4028.49899943,0,4028.49899943,4028.49899943,1553143200,0,4028.49899943,4028.49899943
4028.49899943,0,4028.49899943,4028.49899943,1553143500,0,4028.49899943,4028.49899943
4025.00062045,2.34713886,4025.00062045,4025.00062045,1553143800,0.00058314,4025.00062045,4025.00062045
4025.00062045,0,4025.00062045,4025.00062045,1553144100,0,4025.00062045,4025.00062045
4029.9899997,30.72524825,4029.9899997,4029.9899997,1553144400,0.00762415,4029.9899997,4029.9899997
4029.96399927,164.38626489,4029.95420308,4029.92999854,1553144700,0.0407911,4029.96399927,4029.92999854
4029.92999854,0,4029.92999854,4029.92999854,1553145000,0,4029.92999854,4029.92999854
4029.92999854,0,4029.92999854,4029.92999854,1553145300,0,4029.92999854,4029.92999854
4022.00000001,212.77400425,4021.20925909,4021.05891217,1553145600,0.05291294,4022.00000001,4021.05891217
4021.05891217,0,4021.05891217,4021.05891217,1553145900,0,4021.05891217,4021.05891217
4024,80.48,4024,4024,1553146200,0.02,4024,4024
4024,0,4024,4024,1553146500,0,4024,4024
4024,0,4024,4024,1553146800,0,4024,4024
4024,0,4024,4024,1553147100,0,4024,4024
4020,5.490516,4020,4020,1553147400,0.0013658,4020,4020
4020.49,76.18627525,4020.49,4020.49,1553147700,0.0189495,4020.49,4020.49
4020,4083.2199976,4018.03192973,4018,1553148000,1.01622388,4020,4018
4018,21449.12554596,4018,4018,1553148300,5.33825922,4018,4018
4018,0,4018,4018,1553148600,0,4018,4018
4016.76460779,5177.40834308,4020.16897454,4020.16029635,1553148900,1.28785839,4023.99999999,4016.76460779
4020.16029663,2.55131432,4020.16029663,4020.16029663,1553149200,0.00063463,4020.16029663,4020.16029663
4023.9999969,232.48140895,4023.99999848,4024,1553149500,0.05777371,4024,4023.9999969
4024,0,4024,4024,1553149800,0,4024,4024
4020.16029657,13.2145483,4020.16029661,4020.16029666,1553150100,0.00328707,4020.16029666,4020.16029657
4020.16029721,4.02012009,4020.16029721,4020.16029721,1553150400,0.00099999,4020.16029721,4020.16029721
4020.16029721,0,4020.16029721,4020.16029721,1553150700,0,4020.16029721,4020.16029721
4021.59710228,2.42224815,4021.59710228,4021.59710228,1553151000,0.00060231,4021.59710228,4021.59710228
4029.56899944,9.24717582,4029.56899885,4029.56899869,1553151300,0.00229483,4029.56899944,4029.56899869
4029.56899873,24.28443934,4029.56899873,4029.56899874,1553151600,0.00602656,4029.56899874,4029.56899873
4029.46899874,837.86211588,4029.46899874,4029.46899875,1553151900,0.20793363,4029.46899875,4029.46899874
4029.46899875,0,4029.46899875,4029.46899875,1553152200,0,4029.46899875,4029.46899875
4029.46899875,0,4029.46899875,4029.46899875,1553152500,0,4029.46899875,4029.46899875
4029.72426021,123.70710397,4032.57770489,4032.65699992,1553152800,0.03067693,4032.65699992,4029.72426021
4032.65699992,1746.85111578,4032.65699992,4032.65699992,1553153100,0.43317622,4032.65699992,4032.65699992
4032.65699992,0,4032.65699992,4032.65699992,1553153400,0,4032.65699992,4032.65699992
4032.65699992,0,4032.65699992,4032.65699992,1553153700,0,4032.65699992,4032.65699992
4033.13,1226.70151595,4035.20315154,4035.20999363,1553154000,0.30399994,4035.20999363,4033.13
4038.00009979,1429.99999194,4038.0000998,4038.00009982,1553154300,0.3541357,4038.00009982,4038.00009979
4033.07106765,270.6834837,4037.9540675,4038.00009988,1553154600,0.06703481,4038.00009988,4033.07106765
4032.65700252,6187.58873472,4032.78100769,4038.00009987,1553154900,1.53432302,4038.00009988,4032.65700146
4038.00009987,0,4038.00009987,4038.00009987,1553155200,0,4038.00009987,4038.00009987
4036.94278779,43.82105433,4036.94278779,4036.94278779,1553155500,0.01085501,4036.94278779,4036.94278779
4026.97141616,69.66660549,4026.97141616,4026.97141616,1553155800,0.0173,4026.97141616,4026.97141616
4026.97141616,0,4026.97141616,4026.97141616,1553156100,0,4026.97141616,4026.97141616
4026.96045785,2.46566761,4026.96045785,4026.96045785,1553156400,0.00061229,4026.96045785,4026.96045785
4026.96045785,0,4026.96045785,4026.96045785,1553156700,0,4026.96045785,4026.96045785
4027.06046424,10.34656536,4027.06046424,4027.06046424,1553157000,0.00256926,4027.06046424,4027.06046424
4027.06046424,0,4027.06046424,4027.06046424,1553157300,0,4027.06046424,4027.06046424
4036.85695526,47.84352091,4036.67168828,4030.08034509,1553157600,0.01185222,4036.85695526,4030.08034509
4030.08034509,0,4030.08034509,4030.08034509,1553157900,0,4030.08034509,4030.08034509
4028.7078714,2.39506682,4028.7078714,4028.7078714,1553158200,0.0005945,4028.7078714,4028.7078714
4028.7078714,0,4028.7078714,4028.7078714,1553158500,0,4028.7078714,4028.7078714
4028.7078714,0,4028.7078714,4028.7078714,1553158800,0,4028.7078714,4028.7078714
4028.7078714,0,4028.7078714,4028.7078714,1553159100,0,4028.7078714,4028.7078714
4028.7078714,0,4028.7078714,4028.7078714,1553159400,0,4028.7078714,4028.7078714
4028.7078714,0,4028.7078714,4028.7078714,1553159700,0,4028.7078714,4028.7078714
4026.96045433,2.48036602,4026.96045433,4026.96045433,1553160000,0.00061594,4026.96045433,4026.96045433
4026.96045433,0,4026.96045433,4026.96045433,1553160300,0,4026.96045433,4026.96045433
4032.16571077,37108.86575201,4032.65172311,4031.4713455,1553160600,9.20210033,4033.79837248,4030.75497215
4031.4713455,0,4031.4713455,4031.4713455,1553160900,0,4031.4713455,4031.4713455
4031.4713455,0,4031.4713455,4031.4713455,1553161200,0,4031.4713455,4031.4713455
4031.4713455,0,4031.4713455,4031.4713455,1553161500,0,4031.4713455,4031.4713455
4027.15346084,2734.43299821,4031.46783069,4031.47134551,1553161800,0.67827231,4031.47134551,4027.15346084
4031.47134551,41.44050182,4031.47134551,4031.47134551,1553162100,0.01027925,4031.47134551,4031.47134551
4031.47134551,1844.40116417,4031.47134551,4031.47134551,1553162400,0.45750075,4031.47134551,4031.47134551
4031.47134551,36394.69337062,4031.49795967,4032.85943623,1553162700,9.02758571,4032.85943623,4031.47134551
4032.85943623,0,4032.85943623,4032.85943623,1553163000,0,4032.85943623,4032.85943623
4032.85943623,0,4032.85943623,4032.85943623,1553163300,0,4032.85943623,4032.85943623
4031.47134551,2.38235855,4026.97524663,4026.96045432,1553163600,0.0005916,4031.47134551,4026.96045432
4026.96045432,0,4026.96045432,4026.96045432,1553163900,0,4026.96045432,4026.96045432
4026.96045432,0,4026.96045432,4026.96045432,1553164200,0,4026.96045432,4026.96045432
4026.96045432,0,4026.96045432,4026.96045432,1553164500,0,4026.96045432,4026.96045432
4028.5,11929.37062269,4032.59289276,4033.88999986,1553164800,2.95823827,4033.88999986,4027.99999999
4033.88999986,0,4033.88999986,4033.88999986,1553165100,0,4033.88999986,4033.88999986
4025.00045432,9.05669377,4025.00045432,4025.00045432,1553165400,0.00225011,4025.00045432,4025.00045432
4025.00045432,0,4025.00045432,4025.00045432,1553165700,0,4025.00045432,4025.00045432
4024.99999999,17.18590474,4024.99999999,4024.99999999,1553166000,0.00426979,4024.99999999,4024.99999999
4024.99999999,1940.44255797,4025.54910015,4025.55142442,1553166300,0.48203177,4025.55142442,4024.99999999
4025.55142442,0,4025.55142442,4025.55142442,1553166600,0,4025.55142442,4025.55142442
4034.00094671,2857.86440011,4034.70559237,4038.26650761,1553166900,0.70832043,4038.26650761,4034.00094671
4039.79121157,34.76886704,4039.79121157,4039.79121157,1553167200,0.0086066,4039.79121157,4039.79121157
4039.79121157,0,4039.79121157,4039.79121157,1553167500,0,4039.79121157,4039.79121157
4037.20868861,999.99192482,4037.20868861,4037.20868861,1553167800,0.24769389,4037.20868861,4037.20868861
4028.66480715,2.66411575,4028.66480715,4028.66480715,1553168100,0.00066129,4028.66480715,4028.66480715
4033.22307386,26.47460057,4033.22307386,4033.22307386,1553168400,0.00656413,4033.22307386,4033.22307386
4033.22307386,0,4033.22307386,4033.22307386,1553168700,0,4033.22307386,4033.22307386
4033.22307386,0,4033.22307386,4033.22307386,1553169000,0,4033.22307386,4033.22307386
4038.4377855,30.65695237,4038.4377855,4038.4377855,1553169300,0.00759129,4038.4377855,4038.4377855
4032.70077503,31.69997527,4029.47176716,4027.45330207,1553169600,0.00786703,4032.70077503,4027.45330206
4029.92691304,2.42887724,4029.92691304,4029.92691304,1553169900,0.00060271,4029.92691304,4029.92691304
4033.5,318.82572738,4039.58124762,4039.60098712,1553170200,0.07892544,4039.60098712,4033.5
